env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E036;21.08;23.80;17.57;845.00;208.00;0.00;121.44;595.00;2.00;249.00;2.00;12.37;57.52;249.95;30.90;9.40;21.50;22.57;17.57
E037;20.12;23.02;16.30;971.00;235.00;3.00;117.51;665.00;10.00;280.00;10.00;11.51;55.60;271.73;30.30;9.60;20.70;21.78;16.30
E038;22.31;24.80;18.85;1487.00;286.00;16.00;91.31;828.00;63.00;419.00;77.00;12.88;61.02;244.01;33.20;12.10;21.10;23.78;20.15
E039;21.83;24.37;18.02;1070.00;225.00;14.00;95.73;648.00;43.00;526.00;43.00;12.92;61.22;271.70;31.30;10.20;21.10;24.37;18.02
E040;19.44;20.05;19.15;1211.00;206.00;8.00;55.66;475.00;65.00;226.00;365.00;10.74;80.16;40.96;26.40;13.00;13.40;19.27;19.45
E041;21.04;21.67;20.72;888.00;145.00;5.00;58.94;345.00;38.00;151.00;110.00;10.95;81.11;41.77;28.00;14.50;13.50;21.00;21.02
E042;20.53;20.85;20.30;941.00;157.00;8.00;53.63;363.00;61.00;215.00;130.00;11.93;85.24;28.41;27.60;13.60;14.00;20.50;20.52
E043;23.11;24.33;22.02;1171.00;150.00;24.00;43.31;403.00;112.00;150.00;369.00;11.62;79.57;90.83;31.40;16.80;14.60;22.28;23.97
E044;22.08;22.67;21.28;1422.00;210.00;62.00;39.35;502.00;227.00;297.00;227.00;10.48;84.54;55.28;28.40;16.00;12.40;22.43;21.28
E045;22.72;23.23;22.32;1026.00;143.00;36.00;41.40;353.00;153.00;174.00;303.00;11.40;87.02;40.42;29.60;16.50;13.10;22.48;22.92
E046;23.17;24.77;21.90;1350.00;184.00;20.00;52.22;495.00;90.00;134.00;449.00;12.93;77.45;113.77;32.70;16.00;16.70;21.90;24.28
E047;18.08;20.90;13.90;849.00;217.00;1.00;112.48;569.00;3.00;479.00;3.00;13.05;58.26;301.54;27.80;5.40;22.40;20.77;13.90
E048;21.80;24.78;17.65;711.00;165.00;0.00;111.56;475.00;1.00;268.00;6.00;14.19;56.77;299.54;33.50;8.50;25.00;23.50;17.70
E049;21.87;24.78;17.60;541.00;115.00;4.00;97.82;339.00;15.00;293.00;15.00;14.03;61.28;306.54;31.70;8.80;22.90;24.67;17.60
E050;18.10;21.23;13.50;855.00;227.00;0.00;115.77;584.00;2.00;503.00;2.00;12.52;55.88;331.95;27.90;5.50;22.40;21.10;13.50
E051;18.67;21.38;14.53;771.00;169.00;5.00;97.97;475.00;17.00;475.00;17.00;12.78;59.42;297.48;28.20;6.70;21.50;21.38;14.53
E052;19.35;22.23;14.98;863.00;216.00;1.00;113.22;584.00;6.00;299.00;6.00;13.76;57.33;309.12;30.00;6.00;24.00;21.77;14.98
E053;18.30;21.03;14.27;815.00;195.00;1.00;108.05;532.00;4.00;304.00;4.00;13.32;57.15;289.66;29.00;5.70;23.30;20.35;14.27
E054;18.14;20.72;14.10;859.00;205.00;1.00;108.62;563.00;7.00;312.00;7.00;13.05;58.78;284.13;27.90;5.70;22.20;20.35;14.10
E055;18.32;21.05;14.10;894.00;219.00;1.00;111.19;596.00;6.00;312.00;6.00;13.26;57.90;300.31;28.40;5.50;22.90;20.78;14.10
E056;18.32;20.95;14.32;818.00;190.00;1.00;107.55;533.00;6.00;300.00;6.00;13.54;58.62;284.15;28.60;5.50;23.10;20.48;14.32
E057;25.99;28.15;24.17;1088.00;215.00;0.00;94.48;618.00;4.00;98.00;618.00;12.07;64.88;157.03;35.60;17.00;18.60;24.17;26.23
E058;27.07;29.77;25.18;1046.00;254.00;1.00;107.72;677.00;7.00;165.00;677.00;12.18;62.76;188.20;37.10;17.70;19.40;25.18;26.12
