env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E0152;22.15;22.92;21.25;1608.00;263.00;57.00;43.12;636.00;238.00;285.00;331.00;11.89;83.16;66.52;29.70;15.40;14.30;22.43;22.72
E0153;18.33;19.27;17.52;1021.00;163.00;26.00;45.66;375.00;121.00;270.00;292.00;14.70;82.58;69.40;27.80;10.00;17.80;18.63;18.62
E0154;20.03;22.62;16.48;923.00;236.00;0.00;115.05;626.00;3.00;277.00;3.00;12.22;58.73;249.48;29.60;8.80;20.80;21.63;16.48
E0155;20.15;22.57;16.77;855.00;210.00;0.00;118.57;592.00;2.00;261.00;2.00;12.28;58.45;233.53;29.90;8.90;21.00;21.55;16.77
E0156;19.99;22.70;16.38;940.00;237.00;0.00;114.66;631.00;3.00;299.00;3.00;12.67;58.64;255.51;29.80;8.20;21.60;21.62;16.38
E0157;23.19;25.73;19.97;949.00;265.00;0.00;128.11;686.00;1.00;230.00;2.00;11.04;57.81;230.81;32.20;13.10;19.10;24.40;21.28
E0158;19.34;21.52;15.92;1187.00;246.00;10.00;94.63;690.00;44.00;362.00;55.00;10.62;58.66;239.25;27.90;9.80;18.10;21.20;17.23
E0159;20.68;23.42;17.43;992.00;241.00;0.00;117.09;675.00;2.00;100.00;2.00;12.44;57.34;243.68;31.10;9.40;21.70;21.62;17.43
E0160;20.12;22.82;16.52;877.00;226.00;0.00;117.82;598.00;2.00;263.00;2.00;12.52;58.76;254.89;29.70;8.40;21.30;21.75;16.52
E0161;20.43;23.02;17.05;836.00;224.00;0.00;123.05;595.00;2.00;236.00;3.00;12.14;58.66;238.95;29.80;9.10;20.70;21.92;18.52
E0162;21.01;23.73;17.52;844.00;207.00;0.00;121.66;596.00;2.00;249.00;2.00;12.34;57.67;249.24;30.80;9.40;21.40;22.52;17.52
E0163;20.15;23.03;16.33;973.00;234.00;3.00;117.06;665.00;11.00;281.00;11.00;11.54;55.76;270.42;30.30;9.60;20.70;21.80;16.33
E0164;22.31;24.80;18.85;1487.00;286.00;16.00;91.31;828.00;63.00;419.00;77.00;12.88;61.02;244.01;33.20;12.10;21.10;23.78;20.15
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0165;19.75;19.95;19.60;1238.00;169.00;15.00;44.10;430.00;100.00;278.00;379.00;10.83;85.24;19.71;26.30;13.60;12.70;19.73;19.85
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0166;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0167;26.65;28.10;25.08;1029.00;154.00;11.00;59.74;430.00;59.00;255.00;289.00;8.97;72.31;121.30;33.80;21.40;12.40;26.90;27.05
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0168;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0169;20.59;23.55;16.87;810.00;208.00;0.00;118.54;570.00;0.00;106.00;5.00;13.48;56.18;273.19;31.90;7.90;24.00;21.80;16.97
E0170;20.60;23.60;16.85;809.00;207.00;0.00;118.58;570.00;0.00;106.00;5.00;13.60;55.97;274.54;32.10;7.80;24.30;21.78;16.98
E0171;20.41;23.53;16.60;813.00;209.00;0.00;118.91;573.00;0.00;115.00;4.00;13.73;56.28;279.52;31.90;7.50;24.40;21.52;16.73
E0172;20.34;23.03;16.73;1119.00;263.00;0.00;113.77;740.00;0.00;164.00;6.00;15.24;59.31;256.39;32.20;6.50;25.70;21.35;16.88
E0173;20.82;23.85;16.95;807.00;209.00;0.00;118.89;569.00;0.00;98.00;6.00;13.49;54.84;285.91;32.40;7.80;24.60;22.15;16.98
E0174;20.73;23.73;16.87;811.00;209.00;0.00;118.92;572.00;0.00;102.00;5.00;13.87;55.47;283.63;32.50;7.50;25.00;22.08;16.97
E0175;20.35;23.28;16.67;925.00;231.00;0.00;119.18;649.00;0.00;124.00;5.00;14.33;57.56;267.37;32.10;7.20;24.90;21.42;16.82
E0176;21.13;24.35;17.22;758.00;201.00;0.00;120.60;543.00;0.00;109.00;3.00;14.13;56.31;291.36;32.70;7.60;25.10;22.33;17.23
E0177;18.65;21.18;14.55;857.00;204.00;2.00;107.64;556.00;6.00;484.00;6.00;12.63;59.27;285.25;27.90;6.60;21.30;20.88;14.55
E0178;18.06;20.75;13.98;803.00;195.00;1.00;108.74;527.00;4.00;299.00;4.00;13.38;57.69;290.94;28.60;5.40;23.20;20.22;13.98
E0179;18.30;21.03;14.27;815.00;195.00;1.00;108.05;532.00;4.00;304.00;4.00;13.32;57.15;289.66;29.00;5.70;23.30;20.35;14.27
E0180;19.35;22.23;14.98;863.00;216.00;1.00;113.22;584.00;6.00;299.00;6.00;13.76;57.33;309.12;30.00;6.00;24.00;21.77;14.98
E0181;18.67;21.38;14.53;771.00;169.00;5.00;97.97;475.00;17.00;475.00;17.00;12.78;59.42;297.48;28.20;6.70;21.50;21.38;14.53
E0182;18.37;21.10;14.13;893.00;219.00;1.00;111.36;596.00;6.00;311.00;6.00;13.37;58.12;301.03;28.50;5.50;23.00;20.83;14.13
E0183;18.82;21.35;14.70;877.00;211.00;1.00;107.97;570.00;5.00;495.00;5.00;12.83;59.69;285.37;28.10;6.60;21.50;21.05;14.70
E0184;18.32;20.95;14.32;818.00;190.00;1.00;107.55;533.00;6.00;300.00;6.00;13.54;58.62;284.15;28.60;5.50;23.10;20.48;14.32
E0185;26.11;28.35;24.20;1112.00;204.00;3.00;82.61;562.00;15.00;138.00;562.00;11.73;64.07;160.47;35.90;17.60;18.30;24.20;26.00
E0186;26.84;29.18;25.02;1088.00;246.00;1.00;101.69;670.00;5.00;84.00;670.00;12.06;63.47;168.58;36.60;17.60;19.00;25.02;26.20
E0187;27.70;29.48;25.73;1035.00;151.00;5.00;65.03;429.00;37.00;215.00;392.00;9.88;69.54;150.72;36.00;21.80;14.20;26.85;28.37
E0188;27.17;28.90;25.25;1028.00;144.00;6.00;64.73;419.00;33.00;219.00;397.00;9.98;69.81;146.70;35.60;21.30;14.30;26.35;27.80
E0189;26.68;28.35;24.82;1049.00;151.00;4.00;62.65;423.00;39.00;228.00;381.00;9.57;69.83;142.07;34.60;20.90;13.70;25.83;27.32
E0190;19.43;20.58;18.70;1679.00;230.00;35.00;52.92;678.00;136.00;458.00;652.00;15.01;76.97;81.89;29.00;9.50;19.50;18.87;19.33
E0191;19.58;21.27;18.35;1297.00;270.00;13.00;84.85;713.00;53.00;270.00;677.00;14.43;73.64;123.55;29.80;10.20;19.60;18.58;19.80
E0192;19.70;21.23;18.27;1732.00;283.00;24.00;74.19;825.00;77.00;177.00;811.00;14.09;79.61;120.35;29.50;11.80;17.70;18.30;20.62
E0193;26.41;28.02;25.03;1208.00;180.00;6.00;62.75;477.00;53.00;254.00;393.00;9.32;67.51;117.34;34.00;20.20;13.80;26.02;26.83
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0194;15.95;16.93;15.10;939.00;147.00;29.00;44.39;336.00;118.00;249.00;279.00;14.23;81.80;73.18;25.40;8.00;17.40;16.22;16.33
E0195;20.51;21.33;19.65;1702.00;255.00;53.00;43.19;657.00;201.00;266.00;448.00;12.44;82.94;68.03;28.50;13.50;15.00;20.45;21.05
E0196;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0196;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0196;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0196;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0196;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0197;22.15;22.92;21.25;1608.00;263.00;57.00;43.12;636.00;238.00;285.00;331.00;11.89;83.16;66.52;29.70;15.40;14.30;22.43;22.72
E0198;23.73;26.42;20.38;945.00;252.00;5.00;119.04;666.00;19.00;256.00;22.00;11.54;57.71;241.81;33.30;13.30;20.00;25.05;20.57
E0199;22.60;25.33;18.97;1061.00;244.00;15.00;92.59;633.00;57.00;281.00;88.00;11.13;56.80;261.09;31.90;12.30;19.60;24.47;19.22
E0200;20.33;22.92;16.95;835.00;224.00;0.00;123.63;595.00;1.00;236.00;3.00;12.09;58.41;238.98;29.70;9.00;20.70;21.82;18.40
E0201;21.15;23.90;17.62;846.00;207.00;0.00;120.85;593.00;2.00;249.00;2.00;12.41;57.45;252.04;31.00;9.40;21.60;22.67;17.62
E0202;26.43;28.27;24.67;1269.00;192.00;6.00;65.51;501.00;44.00;244.00;460.00;9.08;66.73;139.68;34.30;20.70;13.60;25.75;27.20
E0203;26.71;30.22;23.08;792.00;270.00;0.00;138.05;605.00;0.00;169.00;0.00;13.29;56.08;290.45;38.00;14.30;23.70;26.45;23.13
E0204;26.80;28.37;25.23;1484.00;245.00;14.00;65.88;654.00;64.00;260.00;503.00;8.11;70.51;124.22;33.40;21.90;11.50;26.17;27.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0205;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0206;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0206;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0206;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0206;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0207;26.43;27.48;24.67;1261.00;430.00;0.00;146.63;1054.00;0.00;413.00;1.00;12.56;66.80;120.03;35.00;16.20;18.80;26.82;25.45
E0208;26.37;28.48;24.85;1035.00;144.00;7.00;58.11;399.00;47.00;74.00;399.00;13.05;74.15;145.17;36.50;18.90;17.60;24.85;27.95
E0209;25.69;27.80;23.98;1164.00;178.00;8.00;63.46;488.00;44.00;79.00;488.00;12.71;73.89;148.80;35.70;18.50;17.20;23.98;27.27
E0210;25.12;27.22;23.48;1234.00;187.00;9.00;63.10;518.00;48.00;88.00;518.00;12.83;74.18;145.31;35.30;18.00;17.30;23.48;26.70
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0211;27.03;28.78;25.52;1195.00;188.00;5.00;65.80;478.00;41.00;225.00;439.00;9.87;66.67;128.13;35.20;20.40;14.80;26.55;27.53
E0212;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
E0213;20.51;21.33;19.65;1708.00;255.00;54.00;43.08;659.00;202.00;268.00;451.00;12.44;82.94;68.03;28.50;13.50;15.00;20.45;21.05
E0214;20.33;22.92;16.95;835.00;224.00;0.00;123.63;595.00;1.00;236.00;3.00;12.09;58.41;238.98;29.70;9.00;20.70;21.82;18.40
E0215;21.07;23.80;17.53;846.00;207.00;0.00;121.17;595.00;2.00;250.00;2.00;12.38;57.56;251.60;30.90;9.40;21.50;22.57;17.53
E0216;20.15;23.03;16.33;973.00;234.00;3.00;117.06;665.00;11.00;281.00;11.00;11.54;55.76;270.42;30.30;9.60;20.70;21.80;16.33
E0216;20.15;23.03;16.33;973.00;234.00;3.00;117.06;665.00;11.00;281.00;11.00;11.54;55.76;270.42;30.30;9.60;20.70;21.80;16.33
E0217;22.31;24.80;18.85;1487.00;286.00;16.00;91.31;828.00;63.00;419.00;77.00;12.88;61.02;244.01;33.20;12.10;21.10;23.78;20.15
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0218;21.46;23.95;17.75;1058.00;221.00;11.00;97.61;645.00;36.00;645.00;36.00;11.80;61.78;263.07;29.80;10.70;19.10;23.95;17.75
E0219;22.05;25.58;17.07;494.00;127.00;0.00;111.29;328.00;2.00;126.00;3.00;15.36;58.40;360.96;33.40;7.10;26.30;24.17;17.07
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0220;19.48;19.68;19.30;1214.00;161.00;16.00;43.58;414.00;103.00;279.00;379.00;10.33;86.11;23.40;25.70;13.70;12.00;19.53;19.48
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0221;19.94;20.38;19.72;972.00;168.00;9.00;58.43;407.00;51.00;179.00;274.00;11.33;82.07;33.24;27.00;13.20;13.80;19.90;19.97
E0222;27.18;28.55;25.93;528.00;96.00;2.00;78.63;240.00;15.00;106.00;133.00;10.98;76.75;105.30;35.20;20.90;14.30;27.63;27.98
E0223;21.89;22.47;21.08;1412.00;208.00;65.00;38.58;497.00;235.00;290.00;235.00;10.69;84.85;56.13;28.30;15.70;12.60;22.27;21.08
E0224;20.62;23.52;16.90;813.00;210.00;0.00;118.29;571.00;0.00;104.00;6.00;13.23;56.07;272.58;31.70;8.10;23.60;21.88;16.97
E0225;20.59;23.55;16.87;810.00;208.00;0.00;118.54;570.00;0.00;106.00;5.00;13.48;56.18;273.19;31.90;7.90;24.00;21.80;16.97
E0226;20.41;23.53;16.60;813.00;209.00;0.00;118.91;573.00;0.00;115.00;4.00;13.73;56.28;279.52;31.90;7.50;24.40;21.52;16.73
